financial_year,category,no_of_applications
2006,Resale Flat Buyers,11266
2006,Flats Sold,1216
2006,Existing Flat Owners (Refinance),16
2006,DBSS Flat Buyers,0
2007,Resale Flat Buyers,14759
2007,Flats Sold,1622
2007,Existing Flat Owners (Refinance),8
2007,DBSS Flat Buyers,0
2008,Resale Flat Buyers,14913
2008,Flats Sold,936
2008,Existing Flat Owners (Refinance),42
2008,DBSS Flat Buyers,0
2009,Resale Flat Buyers,22345
2009,Flats Sold,948
2009,Existing Flat Owners (Refinance),101
2009,DBSS Flat Buyers,0
2010,Resale Flat Buyers,17990
2010,Flats Sold,868
2010,Existing Flat Owners (Refinance),329
2010,DBSS Flat Buyers,0
2011,Resale Flat Buyers,15039
2011,Flats Sold,2402
2011,Existing Flat Owners (Refinance),548
2011,DBSS Flat Buyers,0
2012,Resale Flat Buyers,15529
2012,Flats Sold,2219
2012,Existing Flat Owners (Refinance),611
2012,DBSS Flat Buyers,1017
2013,Resale Flat Buyers,9213
2013,Flats Sold,2474
2013,Existing Flat Owners (Refinance),1399
2013,DBSS Flat Buyers,244
2014,Resale Flat Buyers,9318
2014,Flats Sold,2122
2014,Existing Flat Owners (Refinance),578
2014,DBSS Flat Buyers,121
2015,Resale Flat Buyers,8211
2015,Flats Sold,1730
2015,Existing Flat Owners (Refinance),156
2015,DBSS Flat Buyers,44
